""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-182-5p"	110.320289505726	1.62075090044784e+33	109.460454928263	41.7369032603397	1.5132218727742e-09	4.75672613285987e-09
"ebv-miR-BART17-5p"	2895.41950670118	Inf	2937.60720511965	41.6174699840371	1.54330819152077e-09	4.83149952202624e-09
"hsa-miR-149-5p"	783.452710721116	6.96251447876776e+235	777.542305167266	41.4674936818997	1.58206315206592e-09	4.93269283591286e-09
"hsa-miR-526b-5p"	485.63677914491	1.55323625910227e+146	497.80994751282	41.4361369919531	1.59030605106542e-09	4.93831879015051e-09
"hsa-miR-302c-5p"	283.112339737242	1.6799888661553e+85	274.075810695537	41.4075495713127	1.59786383607288e-09	4.94178049301571e-09
"hsa-miR-483-3p"	95.0924791680224	4.22365650786554e+28	95.4093466079748	41.3611110325224	1.61022880234184e-09	4.96002205379998e-09
"ebv-miR-BHRF1-3"	141.902988690962	5.21262005200845e+42	145.337432785175	41.2964359249576	1.62763244475987e-09	4.99357634052329e-09
"hsa-miR-424-5p"	905.328540361084	3.39661700364925e+272	910.20100572915	41.2621369143312	1.63694938843934e-09	5.00215211527082e-09
"hsa-miR-361-3p"	167.78971826387	3.23398619308581e+50	165.613909949394	41.1781222711909	1.66003004284825e-09	5.05097572284008e-09
"hsa-miR-744-5p"	2402.70408329905	Inf	2362.70484128852	41.1562578818759	1.66609759827711e-09	5.05097572284008e-09
"hsa-miR-579-3p"	87.8280245670366	2.74707081261915e+26	89.2549087862575	41.0669697544156	1.69114071830218e-09	5.10671232652665e-09
"hsa-miR-155-5p"	188.580198434182	5.86538220116851e+56	188.825159499332	40.9282188754623	1.73091677821409e-09	5.1844629173825e-09
"hsa-miR-135a-5p"	1821.26794383748	Inf	1782.59486375324	40.9231426807681	1.73239215950344e-09	5.1844629173825e-09
"hsa-miR-92a-1-5p"	77.2852841408402	1.84157219784932e+23	79.5987785596177	40.9067487603223	1.73716684454668e-09	5.1844629173825e-09
"hsa-miR-502-3p"	140.912421591495	2.62340692544397e+42	142.387483241789	40.7695580027716	1.77771910361657e-09	5.2804823045197e-09
"hsa-miR-147a"	193.05184366518	1.30135462967314e+58	193.797192308501	40.7515922642207	1.78310940921852e-09	5.2804823045197e-09
"hsa-miR-137-3p"	542.72157245091	2.37395565217506e+163	549.566666010213	40.5809161264755	1.8352616256269e-09	5.41402179559934e-09
"hsa-miR-431-3p"	104.771704123205	3.46278587971845e+31	103.216595609265	40.447191453564	1.87734445641513e-09	5.51694711904371e-09
"hsa-miR-19a-5p"	71.3922601037536	3.0989298798396e+21	72.3639769586331	40.4137182510646	1.88805051960469e-09	5.52723186464426e-09
"hsa-miR-573"	97.9609846503861	3.08457109483154e+29	94.9704920371598	40.2885338561346	1.92871349527907e-09	5.62480323528154e-09
"hsa-miR-20a-5p"	1577.09390393585	Inf	1582.08903485463	40.1956665519702	1.95952713628935e-09	5.68313093742717e-09
"hsa-miR-765"	2793.37979051549	Inf	2873.09050559285	40.1837168298699	1.96353285321799e-09	5.68313093742717e-09
"hsa-miR-569"	75.0733525803903	3.97494388255828e+22	76.7803257403044	40.0852626773858	1.99689516772861e-09	5.74207500590762e-09
"hsa-miR-10a-5p"	104.234616723161	2.38641637403297e+31	102.170283826429	40.0794911434274	1.99887096033551e-09	5.74207500590762e-09
"hsa-miR-23a-5p"	108.04602194418	3.35037575599937e+32	111.766931684077	39.9838737786665	2.03193183281571e-09	5.81526759615542e-09
"hsa-miR-493-5p"	103.636722927482	1.57674787182931e+31	99.1329321641843	39.8648079229241	2.07397879161252e-09	5.91353804151227e-09
"hsa-miR-299-3p"	166.684301833183	1.50305425747704e+50	166.153537263224	39.8010233547633	2.09691285450956e-09	5.95678577558825e-09
"hsa-miR-601"	149.256228845054	8.5231851359004e+44	152.18218307081	39.7457694336481	2.11701452302232e-09	5.99169793047277e-09
"hsa-miR-551b-5p"	493.293868617433	3.13509807210355e+148	504.556116747754	39.5121349470284	2.20448600674456e-09	6.21632634990103e-09
"hsa-miR-193a-3p"	261.996204872594	7.39122489311807e+78	263.19329117676	39.4704031238734	2.22054189367785e-09	6.23866532033301e-09
"hsa-miR-423-3p"	611.695237876834	1.37598850474732e+184	617.705437290127	39.4099008435491	2.24405777393395e-09	6.28172376863992e-09
"hsa-miR-769-5p"	824.118452725707	1.21443493158384e+248	821.061469278913	39.2422141286516	2.31073789334239e-09	6.42545495158583e-09
"hsa-miR-491-5p"	427.626608953701	5.35101587162949e+128	432.673157440182	39.2387020802709	2.31215849626817e-09	6.42545495158583e-09
"hsa-miR-513a-5p"	452.334399334306	1.46629809477803e+136	449.049662485846	39.1677872750243	2.3410580791588e-09	6.46813608822603e-09
"hsa-miR-455-5p"	117.080380341269	1.75673553595435e+35	113.269579450014	39.1596925550559	2.34438309325533e-09	6.46813608822603e-09
"hsa-miR-665"	8359.09916034522	Inf	8726.44641978868	39.1243344132587	2.35897043028906e-09	6.47525238742082e-09
"hsa-miR-93-3p"	98.7467702087732	5.31789560849195e+29	96.9157084575794	39.1125698463159	2.36384702539482e-09	6.47525238742082e-09
"hsa-miR-138-5p"	5740.24300455666	Inf	5839.61022511209	39.0574471797592	2.38685045058524e-09	6.51499749323445e-09
"hsa-miR-490-3p"	451.019905467936	5.89549380549559e+135	445.265169328625	38.811152093182	2.49281275403537e-09	6.77703244438276e-09
"hsa-miR-133b"	302.985181048861	1.61297537590665e+91	300.913340699461	38.7937029858014	2.50052174936157e-09	6.77703244438276e-09
"hsa-miR-613"	72.9722850340082	9.2650261062792e+21	73.5454040479433	38.6862248072062	2.54861150069395e-09	6.88304584870514e-09
"hsa-miR-486-3p"	82.6322088677656	7.49503175428814e+24	83.5601754561959	38.5879104578269	2.59352987417389e-09	6.97442200669913e-09
"hsa-miR-651-5p"	95.4832582570466	5.5376412764095e+28	94.9325153133395	38.5716268909083	2.60105672704171e-09	6.97442200669913e-09
"hsa-miR-767-5p"	84.548422171003	2.82885807673822e+25	86.6689777070844	38.5529405483649	2.60972505335417e-09	6.97442200669913e-09
"hsa-miR-509-3-5p"	173.673283882494	1.90927239804078e+52	171.802587126183	38.3972573516649	2.68324363135195e-09	7.14599953210745e-09
"hsa-miR-19a-3p"	653.631234935679	5.7890569041329e+196	652.96227850267	38.3638479992269	2.69932783975264e-09	7.16396004529508e-09
"kshv-miR-K12-1-5p"	144.579366221546	3.33216107463752e+43	144.817514543416	38.3107059882902	2.72513979466713e-09	7.20752490520581e-09
"hsa-miR-548d-3p"	89.1925265771856	7.07336206266363e+26	91.3195044157745	38.2041449133093	2.77775409226704e-09	7.27989823883979e-09
"hsa-miR-542-5p"	103.030647607598	1.03589420267921e+31	103.756281133357	38.1985866729435	2.78053020177921e-09	7.27989823883979e-09
"hsa-miR-610"	122.636588926775	8.26593208854309e+36	124.116465606347	38.1976905488565	2.7809780755933e-09	7.27989823883979e-09
"hsa-miR-296-3p"	160.364364390499	1.88141203214152e+48	161.745269284213	38.1571794104448	2.80131163270072e-09	7.30818374925663e-09
"hsa-miR-708-3p"	116.387599974878	1.0868227375759e+35	116.185817256407	38.0725158803395	2.84435820995676e-09	7.39533134588757e-09
