Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000145626	2582	5616	2570	5445	5480	2706	3330	3422	1582	2287	3569	1367	1653	4746	3602	4551
ENSG00000145632	667	812	481	891	832	518	587	144	357	615	1281	755	2243	1819	683	689
ENSG00000145642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145649	45	0	0	37	4	3	57	0	0	0	33	0	0	0	0	680
ENSG00000145675	574	1691	519	829	1503	401	1017	804	699	1145	1357	1318	2317	925	3547	1864
ENSG00000145681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145685	155	280	73	597	798	414	504	393	235	511	445	894	273	716	666	1690
ENSG00000145687	135	184.85	90	83	134.14	50.6	21	2	52	75	80	157	0	206	328	0
ENSG00000145692	5146.38	8819	3926	3457	3734.52	1953	5733	4803	3161.04	3639	8173.15	5072	4749	7079	8723	5541
ENSG00000145700	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145703	1789	2815	670	1977	2142	859	1913	2814	2678	2751	3330	2328	1779	6019	5770	8171
ENSG00000145708	0	0	0	17	0	0	0	0	66	0	0	0	0	236	0	0
ENSG00000145715	192	772	292	333.28	420	152	128	573	381	319	617	166	313	684	1839	520
ENSG00000145721	0	0	0	0	0	0	0	0	0	55	1	396	0	0	0	2
ENSG00000145723	0	32	22	17	1	0	1	7	0	0	0	0	0	0	0	0
ENSG00000145725	768	1708.28	929	773	1040	322	1425	1080	794	705	1435	883.11	7	896	1850	2221.17
ENSG00000145730	188	963	264	666	830	345	899	645	1077	698	863	655	451	410	257	1432.12
ENSG00000145734	165	880	275	329	626	176	537	399	186	279	768	956	1159	761	1007	3387
ENSG00000145736	0	126.15	0	92.09	2	35.62	489.07	2.55	80.97	278.18	112.62	13.69	4.24	1.99	231.05	371.99
ENSG00000145740	161	402	206	247	168	120	237	137	78	139	550	384	0	110	293	1673
