65036	93890	23	45
65037	75574	52	74
65037	93891	16	38
65038	75575	64	85
65038	93892	13	35
65039	75576	12	33
65039	93893	51	72
65040	75577	60	81
65040	93894	19	41
65041	75578	65	87
65041	93895	13	34
65042	75579	65	85
65043	75580	61	84
65043	93896	13	34
65044	75581	16	36
65044	93897	55	76
65045	75582	66	88
65046	75583	16	41
65047	75584	52	74
65047	93898	15	37
65048	75585	14	35
65048	75586	49	72
65049	75587	14	35
65049	75588	50	71
65050	75589	12	33
65050	75590	50	73
65051	75591	14	35
65051	75592	48	69
65052	75593	15	36
65052	75594	51	72
65053	75595	7	28
65053	75596	43	65
65054	75597	13	33
65054	75598	47	68
65055	75599	15	36
65056	75599	11	32
65057	75601	11	33
65057	75602	51	74
65058	75603	7	28
65058	75604	39	60
65059	75605	6	27
65059	75606	51	72
65060	75607	14	35
65060	75608	51	73
65061	75609	6	27
65061	75610	44	66
65062	75611	13	35
65062	75612	46	67
65063	75613	14	36
65063	75614	51	72
65064	75615	16	37
65064	75616	70	91
65065	75617	5	27
65065	75618	41	63
65066	75619	12	32
65066	75620	52	73
65067	75621	13	34
65067	75622	51	72
65068	75623	7	29
65068	93899	43	64
65069	75624	14	35
65069	93900	94	115
65070	75625	12	34
65070	93901	58	79
65071	75626	8	30
65071	93902	46	68
65072	75627	13	34
65072	93903	61	82
65073	75628	15	36
65073	75629	52	73
65074	75630	15	37
65074	93904	56	77
65075	75631	11	31
65075	93905	49	70
65076	75632	29	50
65076	93906	68	88
65077	75633	56	78
65077	93907	13	34
65078	75634	42	63
65078	93908	3	24
65079	75635	14	36
65079	93909	60	81
65080	75636	44	65
65080	93910	7	28
65081	75637	54	75
65081	93911	16	38
65082	75638	52	73
65082	93912	15	37
65083	75639	43	64
65083	93913	5	27
65084	75640	46	67
65084	93914	7	28
65085	75641	70	90
65085	93915	3	28
65086	75642	12	33
65086	93916	54	75
65087	75643	16	37
65087	93917	54	75
65088	75644	56	79
65088	93918	14	35
65089	75645	43	64
65089	93919	7	28
65090	75646	63	85
65090	93920	20	44
65091	75647	7	28
65091	75648	41	64
65092	75649	5	26
65092	75650	62	82
65093	75651	6	27
65093	75652	62	83
65094	75653	53	74
65095	75654	20	41
65095	75655	58	79
65096	75656	20	41
65096	75657	58	80
65097	75658	19	40
65097	75659	61	81
65098	75660	17	38
65098	75661	55	76
65099	75662	15	36
65099	75663	51	72
65100	75664	14	35
65100	75665	53	74
65101	75664	25	46
65101	75665	62	83
65102	75665	53	74
65102	75664	15	36
65103	75670	15	36
65103	75671	55	76
65104	75672	50	70
65105	75673	15	36
65105	75674	55	76
65106	75675	23	44
65106	75676	59	80
65107	75677	53	74
65108	75677	59	80
65109	75679	17	39
65109	75680	56	77
65110	75679	23	45
65111	75682	59	81
65112	75683	10	32
65112	75684	57	78
65113	75685	23	44
65113	75686	62	82
65114	75687	17	38
65114	75688	59	80
65115	75689	16	36
65115	75690	52	74
65116	75691	27	48
65116	75692	61	81
65117	75693	15	36
65117	75694	52	71
65118	75695	16	38
65118	75696	54	75
