miRTarBase_ID	miRNA	Species_miRNA	Target_Gene	Target_Gene_Entrez_ID	Species_Target_Gene	Experiments	Support_Type	References_PMID
MIRT002259	rno-miR-30e-5p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002260	rno-miR-30c-5p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002261	rno-miR-30b-5p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002262	rno-miR-382-5p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002263	rno-miR-290	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002264	rno-miR-130a-3p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002265	rno-miR-30a-5p	Rattus_norvegicus	Acvr1	79558	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002299	rno-miR-29c-3p	Rattus_norvegicus	Cav2	363425	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002300	rno-miR-29b-3p	Rattus_norvegicus	Cav2	363425	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002301	rno-miR-29a-3p	Rattus_norvegicus	Cav2	363425	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002302	rno-miR-29c-3p	Rattus_norvegicus	Insig1	64194	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002303	rno-miR-29b-3p	Rattus_norvegicus	Insig1	64194	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002304	rno-miR-29a-3p	Rattus_norvegicus	Insig1	64194	Rattus_norvegicus	Immunoprecipitaion-Luciferase_reporter_assay-Microarray-Northern_blot-Western_blot	Functional_MTI	17652184
MIRT002404	rno-miR-132-3p	Rattus_norvegicus	Mecp2	29386	Rattus_norvegicus	Western_blot	Functional_MTI	17994015
MIRT002424	rno-let-7a-5p	Rattus_norvegicus	Myc	24577	Rattus_norvegicus	Flow_cytometry-Immunohistochemistry-In_situ_hybridization-QRTPCR-Western_blotting	Functional_MTI	24953987
MIRT002892	rno-miR-133a-3p	Rattus_norvegicus	Hcn2	114244	Rattus_norvegicus	Reporter_assay-real-timeRT-PCR-Western_blot	Functional_MTI	17516552
MIRT002893	rno-miR-1-3p	Rattus_norvegicus	Hcn4	59266	Rattus_norvegicus	Reporter_assay-real-timeRT-PCR-Western_blot	Functional_MTI	17516552
MIRT002894	rno-miR-1-3p	Rattus_norvegicus	Hcn2	114244	Rattus_norvegicus	Reporter_assay-real-timeRT-PCR-Western_blot	Functional_MTI	17516552
MIRT002894	rno-miR-1-3p	Rattus_norvegicus	Hcn2	114244	Rattus_norvegicus	Western_blot-qRT_PCR	Functional_MTI	18458081
MIRT002898	rno-miR-133a-3p	Rattus_norvegicus	Casp9	58918	Rattus_norvegicus	Western_blot	Functional_MTI	17715156
MIRT002898	rno-miR-133a-3p	Rattus_norvegicus	Casp9	58918	Rattus_norvegicus	Luciferase_reporter_assay-Western_blot	Functional_MTI	20056941
